"","placement","civ","player","score"
"399",3,"CHINA","Bot",25
"400",4,"AZTECS","Bot",7
"401",1,"EGYPT","Unknown Player",114
"402",2,"GREECE","Unknown Player",48
"403",3,"ROME","herisscik",47
"404",4,"CHINA","glorious_axolotl_84151",29
"405",5,"ENGLAND","googlplex",14
"406",6,"RUSSIA","Bot",12
"407",7,"ARABIA","Unknown Player",0
"408",1,"ENGLAND","hellobook",101
"409",2,"FRANCE","marcvsich",84
"410",3,"RUSSIA","Bot",70
"411",4,"ARABIA","Bot",52
"412",1,"AZTECS","spoonx2",111
"413",2,"GREECE","Unknown Player",53
"414",3,"ROME","herisscik",46
"415",4,"CHINA","glorious_axolotl_84151",45
"416",1,"CHINA","parkle4047",108
"417",2,"AZTECS","sudosage",82
"418",3,"PERSIA","Bot",74
"419",1,"ROME","iseris_",113
"420",2,"ENGLAND","arbormatt_73718",61
"421",3,"PERSIA","Bot",44
"422",1,"ENGLAND","Unknown Player",101
"423",2,"ROME","herisscik",82
"424",3,"GREECE","Unknown Player",19
"425",4,"CHINA","glorious_axolotl_84151",3
"426",1,"ARABIA","skortang",103
"427",2,"FRANCE","lord_dehf",74
"428",3,"PERSIA","razorwiresc2",73
